name,sptnum_pri,sptnumerr_pri,sptnum_sec,sptnumerr_sec,sptnum_ter,sptnumerr_ter,ref_spt,mass_pri,masserr_pri,mass_sec,masserr_sec,ref_mass,sep_bin,seperr_bin,pa_bin,paerr_bin,offset_ew_bin,offseterr_ew_bin,offset_ns_bin,offseterr_ns_bin,sep_tri,seperr_tri,pa_tri,paerr_tri,epoch_astrometry,ref_astrometry
SDSSp J042348.57-041403.5,,,,,,,,,,,,,164,5,19.2,0.8,,,,,,,,,2004-07-22,
LP 475-855,,,,,,,,,,,,,294,5,131.6,0.5,,,,,,,,,2001-09-22,2003ApJ...598.1265S
2MASSI J0429184-312356,7.5,,11,,,,2005ApJ...621.1023S,,,,,,531,2,298.9,0.2,,,,,,,,,2003-02-13,2005ApJ...621.1023S
[MDM2001] CFHT-BD-Tau 18,6,,9,,,,2020ApJ...889..176F,,,,,,216,2,268.56,0.34,,,,,,,,,2005-11-13,2007ApJ...663..394K
MHO 8,6,,6.6,,,,2006ApJ...649..306K,,,,,,44,8,270,2,,,,,,,,,2004-01-24,2006ApJ...649..306K
[MDM2001] CFHT-BD-Tau 17,5.5,,8,,,,2020ApJ...889..176F,,,,,,575,2,235.37,0.31,,,,,,,,,2005-11-13,2007ApJ...663..394K
2MASS 0441+2301 Bab,,,,,,,,,,,,,97.5,1,132,0.6,,,,,,,,,2014-11-10,2015ApJ...811L..30B
2MASS 0441+2301 Aab,,,,,,,,,,,,,232,1.3,79.1,0.3,,,,,,,,,2014-11-10,2015ApJ...811L..30B
WISEPA J045853.89+643452.9,,,,,,,,,,,,,510,20,320,1,,,,,,,,,2010-03-24,
2MASS J05185995-2828372,,,,,,,,,,,,,51,12,189,8,,,,,,,,,2004-09-07,
2MASS J05345805-0529405,,,,,,,,0.046,0.002,0.037,0.002,2022ApJ...925..112D,113,6,64,0.8,,,,,,,,,,2022ApJ...925..112D
2MASS J05350136-0524132,,,,,,,,0.044,0.002,0.036,0.002,2022ApJ...925..112D,318,9,114,0.5,,,,,,,,,,2022ApJ...925..112D
2MASS J05350313-0525364,,,,,,,,0.023,0.001,0.012,0.001,2022ApJ...925..112D,86,5,58,1,,,,,,,,,,2022ApJ...925..112D
2MASS J05350739-0525481,,,,,,,,0.079,0.003,0.065,0.002,2022ApJ...925..112D,70,3,153,0.8,,,,,,,,,,2022ApJ...925..112D
2MASS J05350957-0519426,,,,,,,,0.033,0.005,0.021,0.004,2022ApJ...925..112D,27,7,129,2.8,,,,,,,,,,2022ApJ...925..112D
